"Step","NR5-humanoid_mujoco-humanoid-medium-v0_cql_seed0_20260727_170031_rnd043092 - evaluation/average_return","NR5-humanoid_mujoco-humanoid-medium-v0_cql_seed0_20260727_170031_rnd043092 - evaluation/average_return__MIN","NR5-humanoid_mujoco-humanoid-medium-v0_cql_seed0_20260727_170031_rnd043092 - evaluation/average_return__MAX"
"20000","162.21156215570412","162.21156215570412","162.21156215570412"
"40000","166.84223303872164","166.84223303872164","166.84223303872164"
"60000","196.9101863306651","196.9101863306651","196.9101863306651"
"80000","227.61801590307445","227.61801590307445","227.61801590307445"
"100000","217.84521409278554","217.84521409278554","217.84521409278554"
"120000","198.8297430809538","198.8297430809538","198.8297430809538"
"140000","234.99459867620894","234.99459867620894","234.99459867620894"
"160000","233.5483444276365","233.5483444276365","233.5483444276365"
"180000","315.26613838166554","315.26613838166554","315.26613838166554"
"200000","250.1541320611318","250.1541320611318","250.1541320611318"
"220000","323.40153557408047","323.40153557408047","323.40153557408047"
"240000","365.32019025208905","365.32019025208905","365.32019025208905"
"250000","336.3884701000063","336.3884701000063","336.3884701000063"
"250001","330.54229236407775","330.54229236407775","330.54229236407775"
"260000","387.5453968266348","387.5453968266348","387.5453968266348"
"280000","470.41478913488464","470.41478913488464","470.41478913488464"
"300000","491.5676536936318","491.5676536936318","491.5676536936318"
"320000","509.97666905557355","509.97666905557355","509.97666905557355"
"340000","453.93467874605733","453.93467874605733","453.93467874605733"
"360000","534.2005247997857","534.2005247997857","534.2005247997857"
"380000","529.4119146716021","529.4119146716021","529.4119146716021"
"400000","565.3013828164756","565.3013828164756","565.3013828164756"
"420000","635.0552893958196","635.0552893958196","635.0552893958196"
"440000","623.6056817720694","623.6056817720694","623.6056817720694"
"460000","518.696750291768","518.696750291768","518.696750291768"
"480000","561.3545788636288","561.3545788636288","561.3545788636288"
"500000","576.361116563147","576.361116563147","576.361116563147"
"520000","601.9102779453971","601.9102779453971","601.9102779453971"
"540000","585.7073079260144","585.7073079260144","585.7073079260144"
"560000","574.930283043832","574.930283043832","574.930283043832"
"580000","596.9695698150276","596.9695698150276","596.9695698150276"
"600000","602.8597328348292","602.8597328348292","602.8597328348292"
"620000","610.7265045874403","610.7265045874403","610.7265045874403"
"640000","639.1999411418061","639.1999411418061","639.1999411418061"
"660000","706.6068383374361","706.6068383374361","706.6068383374361"
"680000","705.19358244171","705.19358244171","705.19358244171"
"700000","610.1824782435158","610.1824782435158","610.1824782435158"
"720000","649.1638234805081","649.1638234805081","649.1638234805081"
"740000","614.485352804346","614.485352804346","614.485352804346"
"750000","679.6686696743052","679.6686696743052","679.6686696743052"
