"Step","NR5-humanoid-wsrl-ablation-RandomWarmup-finetune-seed-1_mujoco-humanoid-medium-v0_sac_seed1_20260728_141940_rnd743474 - evaluation/average_return","NR5-humanoid-wsrl-ablation-RandomWarmup-finetune-seed-1_mujoco-humanoid-medium-v0_sac_seed1_20260728_141940_rnd743474 - evaluation/average_return__MIN","NR5-humanoid-wsrl-ablation-RandomWarmup-finetune-seed-1_mujoco-humanoid-medium-v0_sac_seed1_20260728_141940_rnd743474 - evaluation/average_return__MAX"
"250001","379.98521774365474","379.98521774365474","379.98521774365474"
"260000","271.580286970323","271.580286970323","271.580286970323"
"280000","356.03281253193524","356.03281253193524","356.03281253193524"
"300000","426.6952581430249","426.6952581430249","426.6952581430249"
"320000","474.11034421925376","474.11034421925376","474.11034421925376"
"340000","618.3762351148116","618.3762351148116","618.3762351148116"
"360000","700.7899244491223","700.7899244491223","700.7899244491223"
"380000","788.9872800794249","788.9872800794249","788.9872800794249"
"400000","1201.530940315069","1201.530940315069","1201.530940315069"
"420000","1174.9461899818268","1174.9461899818268","1174.9461899818268"
"440000","2008.1907779787766","2008.1907779787766","2008.1907779787766"
"460000","1555.9319100430755","1555.9319100430755","1555.9319100430755"
"480000","3466.6465458673183","3466.6465458673183","3466.6465458673183"
"500000","4812.941675827101","4812.941675827101","4812.941675827101"
"520000","4554.836598658174","4554.836598658174","4554.836598658174"
"540000","4859.59478576213","4859.59478576213","4859.59478576213"
"560000","5038.672545597396","5038.672545597396","5038.672545597396"
"580000","4905.110519521587","4905.110519521587","4905.110519521587"
"600000","5047.991633071202","5047.991633071202","5047.991633071202"
"620000","4718.807058214481","4718.807058214481","4718.807058214481"
"640000","2985.262461442883","2985.262461442883","2985.262461442883"
"660000","3818.3546365643515","3818.3546365643515","3818.3546365643515"
"680000","5169.161857125799","5169.161857125799","5169.161857125799"
"700000","5178.979978885817","5178.979978885817","5178.979978885817"
"720000","4774.2722623904165","4774.2722623904165","4774.2722623904165"
"740000","4520.278884532423","4520.278884532423","4520.278884532423"
"750000","5067.032437508367","5067.032437508367","5067.032437508367"
