"Step","NR5-humanoid-wsrl-ablation-iql-finetuning-seed-0_mujoco-humanoid-medium-v0_sac_seed0_20260728_153645_rnd450076 - evaluation/average_return","NR5-humanoid-wsrl-ablation-iql-finetuning-seed-0_mujoco-humanoid-medium-v0_sac_seed0_20260728_153645_rnd450076 - evaluation/average_return__MIN","NR5-humanoid-wsrl-ablation-iql-finetuning-seed-0_mujoco-humanoid-medium-v0_sac_seed0_20260728_153645_rnd450076 - evaluation/average_return__MAX"
"250001","339.6478960818448","339.6478960818448","339.6478960818448"
"260000","283.1257648596453","283.1257648596453","283.1257648596453"
"280000","549.3418692201373","549.3418692201373","549.3418692201373"
"300000","561.2632687292639","561.2632687292639","561.2632687292639"
"320000","703.3859715693646","703.3859715693646","703.3859715693646"
"340000","1638.1606133918933","1638.1606133918933","1638.1606133918933"
"360000","3421.93245861661","3421.93245861661","3421.93245861661"
"380000","3019.116389243289","3019.116389243289","3019.116389243289"
"400000","3040.7369759699295","3040.7369759699295","3040.7369759699295"
"420000","4723.424392447089","4723.424392447089","4723.424392447089"
"440000","5114.861777719342","5114.861777719342","5114.861777719342"
"460000","4633.281963796688","4633.281963796688","4633.281963796688"
"480000","3282.6966127528385","3282.6966127528385","3282.6966127528385"
"500000","5085.143642864435","5085.143642864435","5085.143642864435"
"520000","3034.185990929017","3034.185990929017","3034.185990929017"
"540000","4821.082732290258","4821.082732290258","4821.082732290258"
"560000","5160.06429529183","5160.06429529183","5160.06429529183"
"580000","4733.947512857682","4733.947512857682","4733.947512857682"
"600000","4859.65037425787","4859.65037425787","4859.65037425787"
"620000","5175.826175674878","5175.826175674878","5175.826175674878"
"640000","4016.368852000281","4016.368852000281","4016.368852000281"
"660000","4741.3758382042115","4741.3758382042115","4741.3758382042115"
"680000","5224.917592340052","5224.917592340052","5224.917592340052"
"700000","4632.30115524494","4632.30115524494","4632.30115524494"
"720000","5127.745454297172","5127.745454297172","5127.745454297172"
"740000","5225.139992129258","5225.139992129258","5225.139992129258"
"750000","5333.374199336906","5333.374199336906","5333.374199336906"
