experiment,seed,final_return,final_normalized_return
1kWarmup,0,4679.868637645266,53.83141244089974
1kWarmup,1,4115.155705416882,47.185531730506135
1kWarmup,2,5149.348773666138,59.356536449627455
20kWarmup,0,4589.840871235188,52.77191165379437
20kWarmup,1,5181.473120503992,59.73459504329418
20kWarmup,2,4259.24330788915,48.8812411134994
randomWarmup,0,4745.246112717902,54.600813805173345
randomWarmup,1,4941.945084088564,56.915685353143964
randomWarmup,2,5074.787072760218,58.47904960364817
reward_bias5_full,0,7460.465901137737,86.555149869573
reward_bias5_full,1,6491.536334736733,75.15220520941742
reward_bias5_full,2,6662.584685570461,77.1652048601688
reward_default_full,0,5572.820671175685,64.34020789477559
reward_default_full,1,4867.262843895447,56.03677992848886
reward_default_full,2,5105.727983615556,58.84318081240955
reward_scale10_full,0,2954.798681942305,33.52975386643442
reward_scale10_full,1,618.0352294645637,6.0293191016540035
reward_scale10_full,2,552.6038050899315,5.259282829615734
wsrl,0,5572.820671175685,64.34020789477559
wsrl,1,4867.262843895447,56.03677992848886
wsrl,2,5105.727983615556,58.84318081240955
wsrl-ablation-retain25-finetune,0,5423.77900204643,62.58619608207923
wsrl-ablation-retain25-finetune,1,5630.45753977282,65.01851315636338
wsrl-ablation-retain25-finetune,2,5383.34445602528,62.11033807688873
wsrl-ablation-retain50-finetune,0,4322.613051914396,49.62701429382679
wsrl-ablation-retain50-finetune,1,1785.7135128130692,19.771257945924866
wsrl-ablation-retain50-finetune,2,2740.8588283186273,31.011981268644842
wsrl-ablation-retain75-finetune,0,600.5644340237856,5.823712295454387
wsrl-ablation-retain75-finetune,1,669.8186692605711,6.638737700056019
wsrl-ablation-retain75-finetune,2,528.0492940585493,4.970310606910177
wsrl_iql_finetuning,0,5108.6956786696655,58.878106428928746
wsrl_iql_finetuning,1,5173.702849062106,59.64314982547994
wsrl_iql_finetuning,2,5078.605043798012,58.52398177825377
