,final_return,final_return,final_normalized_return,final_normalized_return
,mean,std,mean,std
experiment,,,,
1kWarmup,4648.124372242762,517.8268044367355,53.45782687367778,6.094096618880094
20kWarmup,4676.852433209443,467.231437038221,53.79591593686265,5.498659969497529
randomWarmup,4920.659423188895,165.79843366677022,56.66518292065516,1.9512154746862307
reward_bias5_full,6871.528973814977,517.1551148872212,79.6241866463864,6.086191773133272
reward_default_full,5181.937166228896,358.8994866881917,59.74005621189133,4.223744560159246
reward_scale10_full,1375.1459054989334,1368.4105701206283,14.939451932568053,16.104276868561975
wsrl,5181.937166228896,358.8994866881917,59.74005621189133,4.223744560159246
wsrl-ablation-retain25-finetune,5479.193665948177,132.54926544991628,63.238349105110444,1.5599193079470213
wsrl-ablation-retain50-finetune,2949.728464348698,1281.2824479850772,33.470084502798834,15.07890083555961
wsrl-ablation-retain75-finetune,599.4774657809686,70.89093779365301,5.810920200806861,0.8342871025911135
wsrl_iql_finetuning,5120.334523843261,48.60550564743753,59.015079344220815,0.572018762039948
